2024-12-03 14:38:54 [JavaFX Application Thread] INFO : Маршрут найден: Путь: Улица Дыбенко -> Проспект Большевиков -> Ладожская -> Новочеркасская -> Площадь Александра Невского 2 -> Площадь Александра Невского 1 -> Маяковская -> Гостиный двор -> Василеостровская -> Приморская -> Зенит -> Беговая
Время в пути: 24,8 минут.
2024-12-03 14:41:27 [JavaFX Application Thread] INFO : Инициализация данных о метро.
2024-12-03 14:41:27 [JavaFX Application Thread] DEBUG: Загрузка изображения карты метро...
2024-12-03 14:41:28 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:28 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:33 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:33 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:33 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:33 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:33 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:34 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:34 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:34 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:34 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:34 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:34 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:34 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:34 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:34 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:34 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:34 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:34 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:34 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:34 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:34 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:34 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:34 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:34 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:34 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:34 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:34 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:35 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:36 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 14:41:39 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
